date,t,load_error_kw,pv_error_kw,net_error_kw,naive_load_error_kw,naive_pv_error_kw
2025-02-03,15,-56.8672644444,0,-56.8672644444,-100.4,0
2025-02-03,16,-384.161705047,0,-384.161705047,-23.9982,0
2025-02-03,17,-481.494425763,0,-481.494425763,-121.7912,0
2025-02-03,18,-210.775746832,0,-210.775746832,-297.7,0
2025-02-03,19,84.5388349378,0,84.5388349378,82.7201,0
2025-02-03,20,216.75277563,0,216.75277563,329.0692,0
2025-02-03,21,142.161509711,0,142.161509711,117.16,0
2025-02-03,22,-51.8375298085,0,-51.8375298085,-156.9367,0
2025-02-03,23,-184.512184589,0,-184.512184589,-68.6574,0
2025-02-03,24,-153.976042776,0,-153.976042776,253.49,0
2025-02-03,25,-2.55220777554,0,-2.55220777554,316.9272,0
2025-02-03,26,59.6472717995,0,59.6472717995,363.0044,0
2025-02-03,27,-41.5179177002,0,-41.5179177002,379.26,0
2025-02-03,28,-197.780752344,0,-197.780752344,83.8753,0
2025-02-03,29,-299.171048332,-6.31313131313e-05,-299.170985201,-128.8631,-0.0014
2025-02-03,30,-304.082511394,0,-304.082511394,-144.14,0
2025-02-03,31,-250.525007054,-0.0198585858586,-250.505148468,-198.624,0
2025-02-03,32,-268.423667835,-0.00635858585859,-268.417309249,-132.5729,-0.0054
2025-02-03,33,-292.849196593,0,-292.849196593,64.61,0
2025-02-03,34,-155.016413104,-0.0198585858586,-154.996554518,184.0922,0
2025-02-03,35,-69.8109022985,0.167741414141,-69.9786437127,156.8653,-0.0763
2025-02-03,36,-128.407619908,0,-128.407619908,56.78,0
2025-02-03,37,-120.382848453,-26.5714232197,-93.8114252329,37.9174,0
2025-02-03,38,-123.044000081,-62.5665056051,-60.477494476,147.5921,-1.0637
2025-02-03,39,-29.182438066,0,-29.182438066,241.35,0
2025-02-03,40,81.846928804,-142.394170376,224.24109918,143.1507,0
2025-02-03,41,31.3844057261,-49.7680250168,81.1524307429,186.5922,25.903
2025-02-03,42,-71.3867844847,168.940893487,-240.327677972,386.25,47.2875
2025-02-03,43,46.0685788086,-4.41561689167,50.4841957003,404.5615,86.9226
2025-02-03,44,86.5743178085,-42.9736852373,129.548003046,287.4136,126.3838
2025-02-03,45,52.8699079954,-81.3117090338,134.181617029,160.24,151.275
2025-02-03,46,216.493392765,-140.610781432,357.104174197,104.3836,178.7208
2025-02-03,47,148.377634579,-127.873626023,276.251260602,105.9276,299.2165
2025-02-03,48,-119.61222736,-78.608854136,-41.0033732244,39.57,481.0875
2025-02-03,49,-83.7829183002,-20.3686446295,-63.4142736707,-181.8806,573.9497
2025-02-03,50,92.2777812206,-52.5026716916,144.780452912,-167.0276,518.4306
2025-02-03,51,162.261499594,-94.3111333779,256.572632972,25.8,377.55
2025-02-03,52,42.8235125981,-106.332975431,149.156488029,-53.5409,290.1799
2025-02-03,53,-48.376594871,-48.6071245693,0.230529698304,-149.9449,297.7366
2025-02-03,54,42.6248302449,-54.602607291,97.2274375359,-26.91,223.2
2025-02-03,55,242.394401621,-257.390051142,499.784452763,233.4033,-133.1459
2025-02-03,56,139.346290482,-351.5517649,490.898055383,117.1971,-313.1963
2025-02-03,57,-76.4342612428,-216.586707735,140.152446492,-124.21,-223.95
2025-02-03,58,159.377629847,-61.3072355574,220.684865405,231.6079,-198.7235
2025-02-03,59,218.451225087,-12.9760882685,231.427313355,352.8823,-156.224
2025-02-03,60,-49.3533500933,-34.5174033996,-14.8359466937,25.17,-61.3875
2025-02-03,61,-142.283755082,-33.1224091897,-109.161345892,-96.1694,-7.74
2025-02-03,62,-81.4141074289,-42.4753091668,-38.9387982621,57.0953,14.6988
2025-02-03,63,34.0612841946,-211.714227611,245.775511805,291.36,-70.875
2025-02-03,64,156.54878011,-393.163049217,549.711829327,340.9564,-323.6526
2025-02-03,65,166.867845817,-235.138686814,402.006532631,83.2498,-299.025
2025-02-03,66,48.7227067356,129.528281268,-80.805574532,-210.05,25.725
2025-02-03,67,-76.3154295556,174.679799013,-250.995228568,-96.5333,161.2221
2025-02-03,68,-51.7839532546,-56.1507324836,4.36677922896,126.8282,-199.6983
2025-02-03,69,147.396470246,-191.585991232,338.982461478,147.16,-534.7875
2025-02-03,70,354.384700781,190.547527754,163.837173028,-59.1326,-64.0589
2025-02-03,71,230.146332634,289.279824945,-59.1334923109,-73.6895,-16.0213
2025-02-03,72,-60.6687224942,-28.9513780662,-31.717344428,91.54,-495.1125
2025-02-03,73,-51.2615684427,-28.8832468734,-22.3783215693,25.4729,-388.3124
2025-02-03,74,104.949923693,35.9397189621,69.0102047305,-127.3461,-227.8855
2025-02-03,75,110.179061884,-53.3155918625,163.494653747,-155.59,-432.675
2025-02-03,76,-36.5442514189,-337.252455824,300.708204405,-3.8982,-788.1722
2025-02-03,77,-81.2879737022,-316.822765941,235.534792239,79.4678,-749.5243
2025-02-03,78,-55.3408797773,-62.2792551143,6.93837533695,-45.47,-428.7
2025-02-03,79,-170.411669347,-197.639645225,27.2279758783,-257.7334,-457.9633
2025-02-03,80,10.5910285911,-216.64583814,227.236866731,-157.0155,-623.95
2025-02-03,81,240.905808193,-110.595503816,351.501312009,15.59,-652.3125
2025-02-03,82,-155.007336061,-105.900770925,-49.1065651358,-311.0087,-500.3261
2025-02-03,83,-288.629260687,-143.111773592,-145.517487095,-247.3389,-404.9293
