t,channel,mean_error_kw,q05_error_kw,q25_error_kw,q50_error_kw,q75_error_kw,q95_error_kw,samples
87,pv,21.4731258852,-396.643173698,-142.569469669,28.3799357821,175.864189177,418.901787398,334
87,net,-13.7611446614,-522.285648155,-217.550740903,-0.620324016675,189.094307718,494.695591509,334
88,load,2.94044588042,-255.565708908,-113.546416089,-4.81639642283,102.523138351,287.000374134,334
88,pv,8.59877808938,-365.945389575,-132.518291688,10.6472069705,156.391823798,407.379744673,334
88,net,-5.65833220896,-498.971760921,-174.106281282,-18.7006085531,157.831500842,468.119851611,334
89,load,1.51346268118,-278.419505185,-111.091308508,-5.2097059384,111.40259631,282.553545545,334
89,pv,-9.36755267305,-290.334951644,-130.470451499,-6.63512528242,111.632598958,271.445446772,334
89,net,10.8810153542,-375.362960142,-146.980975538,-5.13832570385,149.363246958,457.310440916,334
90,load,-0.720917337061,-314.677177893,-137.064790195,5.02622424437,116.785497237,297.414075895,334
90,pv,-32.7418214167,-236.067924153,-118.06563,-26.2223620649,47.7658267492,184.903084322,334
90,net,32.0209040796,-366.820695781,-146.798435329,37.0732506795,191.840517702,422.966539122,334
91,load,0.21967554467,-262.161273936,-119.638018644,-3.93594160508,98.7904280288,275.074777272,334
91,pv,-8.65914859154,-316.204602427,-132.933256451,-12.9192115004,104.458607398,304.313069319,334
91,net,8.87882413621,-360.626767976,-161.901665499,-0.381281285748,156.794409453,447.68902089,334
92,load,-0.0656997272142,-263.710937356,-99.0908905858,-18.1744085376,111.552563168,264.074315469,334
92,pv,2.53551256288,-353.262257323,-132.598096771,4.94359549595,122.628969962,375.404275114,334
92,net,-2.6012122901,-414.24678435,-180.811079073,4.3466629189,160.941224947,461.92381116,334
93,load,-1.76347757709,-308.675237941,-116.991979383,-14.4456987567,117.409469295,333.745465021,334
93,pv,5.76385689461,-312.974359472,-124.741010048,1.72440302079,117.117566378,347.778168097,334
93,net,-7.5273344717,-461.330348134,-174.877317033,-16.2568679868,182.615688517,426.577858846,334
94,load,1.65155233395,-305.266008211,-108.600610375,2.42924331657,95.7398187941,302.098156085,334
94,pv,-7.6760880505,-312.183022864,-117.286512727,-18.9723837172,101.170117223,292.824526033,334
94,net,9.32764038445,-392.927459791,-149.953932662,3.43211734469,161.436446206,468.834081988,334
95,load,-1.91735400064,-283.229426537,-124.918001781,-0.489663053087,120.486403004,291.517180147,334
95,pv,-16.3224170495,-277.584558439,-110.995785028,-16.9662783939,75.7224105031,223.258037716,334
95,net,14.4050630488,-349.416071928,-145.220114073,7.6689015806,159.449086231,412.016880564,334
96,load,1.32647248179,-301.120026783,-128.838123785,-4.77251620115,121.815530515,311.543935314,334
96,pv,-20.6232269689,-221.885169285,-89.527957579,-15.5286766774,45.2629267641,169.269909017,334
96,net,21.9496994507,-328.252236624,-118.972082925,15.3727262545,153.941692065,424.725849407,334
97,load,-0.0801357134272,-286.043555294,-106.034374213,-10.7466307969,106.291041125,290.037509472,334
97,pv,1.12501399986,-213.586693068,-77.1718527873,4.40572361318,73.1599105073,209.646028836,334
97,net,-1.20514971329,-382.176407892,-127.57302781,6.29022909585,130.779663456,355.366889105,334
98,load,-2.30841774979,-304.970677861,-113.246912535,-1.87353640272,103.384867652,301.198983567,334
98,pv,-6.26778035241,-242.029196784,-90.8138688695,-6.32331282328,75.652683813,197.819133419,334
98,net,3.95936260262,-388.510760979,-142.561688603,3.08103247522,162.311500186,364.658249732,334
99,load,-4.17746143207,-327.874782374,-128.402706169,-6.2900471453,131.36950458,309.199297604,334
99,pv,-7.95429416873,-254.061223826,-75.6353193688,-11.1725915713,75.9771932039,234.136551783,334
99,net,3.77683273666,-384.315901146,-166.654678481,2.39301363135,143.261822607,397.076346665,334
100,load,-2.4685335782,-316.799812282,-122.018017875,-4.79286383467,99.4843677543,324.319873078,334
100,pv,-0.699872396528,-209.76486794,-68.3462673881,-13.0256199435,69.7779719583,212.816624765,334
100,net,-1.76866118167,-393.449865402,-157.042231345,5.11285231604,144.147562254,365.575878779,334
101,load,1.49592240347,-284.815742998,-121.270781539,-2.81536654432,117.602782248,307.960681979,334
101,pv,2.1977472259,-175.9409834,-48.7587388503,-8.63054757787,52.8269301518,186.147269554,334
101,net,-0.70182482243,-346.106839362,-149.675706488,-0.864476844658,133.380148482,341.907140676,334
102,load,6.61344227964,-311.523935224,-121.576960658,3.99522841568,137.086211875,318.839014461,334
102,pv,7.77361447676,-122.271650691,-19.3274877653,7.74936707346,44.0981496712,122.193606213,334
102,net,-1.16017219712,-371.200525992,-119.821494202,-18.2000337678,142.903696682,332.173600886,334
103,load,10.0761315264,-305.436562429,-116.004484879,2.06241592707,137.895539572,342.421661167,334
103,pv,12.7187649995,-142.75008869,-62.2818473082,0,76.4042658899,203.193844453,334
103,net,-2.64263347306,-356.248834821,-137.729009785,1.14640963801,121.858084771,364.044040137,334
104,load,8.58455310924,-311.254272196,-110.06014532,-7.35508804538,140.744353914,350.187429316,334
104,pv,-15.4850339999,-169.855327588,-79.8266264408,-5.44463552817,46.6237881705,145.492264183,334
104,net,24.0695871091,-334.387480767,-104.916469306,-2.33655754258,165.473243374,381.696703806,334
105,load,4.08624846183,-343.959048702,-143.762262171,8.92878454921,142.907585696,360.499692806,334
105,pv,-25.8521532658,-198.2950878,-73.0009083227,-1.11716735533,15.4201553499,132.73337605,334
105,net,29.9384017276,-368.368392473,-123.218127702,34.9679839495,196.088611689,401.189850902,334
106,load,30.8359891521,-307.121348451,-102.713465709,28.1819483413,151.308838671,379.645863432,334
106,pv,-23.8189089316,-165.283540834,-71.9719443979,-11.663266056,12.8560137863,110.849944566,334
